./data/images/data_2549.png,204,432,788,1231,wheelchair
./data/images/aug_data_1145.png,586,188,796,418,wheelchair
./data/images/aug_data_1727.png,194,298,858,1948,crutches
./data/images/aug_data_592.png,496,194,615,334,wheelchair
./data/images/data_1450.png,444,179,605,436,wheelchair
./data/images/aug_data_1786.png,610,138,1403,1969,crutches
./data/images/aug_data_1525.png,153,85,266,316,crutches
./data/images/aug_people_452.png,270,76,422,581,pedestrian
./data/images/aug_people_452.png,455,53,625,596,pedestrian
./data/images/aug_people_452.png,101,288,257,641,pedestrian
./data/images/aug_people_452.png,12,53,115,468,pedestrian
./data/images/aug_data_71.png,112,65,330,377,wheelchair
./data/images/aug_data_1486.png,201,234,285,400,crutches
./data/images/aug_data_1486.png,140,241,222,400,crutches
./data/images/data_2620.png,87,30,344,553,crutches
./data/images/data_704.png,440,99,563,449,crutches
./data/images/data_1666.png,180,221,404,900,crutches
./data/images/aug_people_145.png,254,76,500,537,pedestrian
./data/images/aug_people_300.png,236,223,323,381,pedestrian
./data/images/aug_data_2313.png,1117,197,2017,1917,crutches
./data/images/aug_data_1221.png,162,182,331,402,wheelchair
./data/images/data_2023.png,242,19,387,408,crutches
./data/images/data_1718.png,148,2,315,401,crutches
./data/images/aug_data_833.png,682,156,960,540,wheelchair
./data/images/aug_data_968.png,558,131,685,354,crutches
./data/images/data_1629.png,166,34,407,377,crutches
./data/images/data_2522.png,329,116,650,489,wheelchair
./data/images/aug_people_74.png,451,271,523,427,pedestrian
./data/images/aug_people_74.png,403,282,468,389,pedestrian
./data/images/aug_people_74.png,151,329,220,459,pedestrian
./data/images/aug_people_74.png,213,314,287,445,pedestrian
./data/images/aug_data_2372.png,143,55,271,388,crutches
./data/images/data_189.png,43,65,123,261,wheelchair
./data/images/data_189.png,129,30,225,311,wheelchair
./data/images/data_189.png,224,22,344,345,wheelchair
./data/images/data_189.png,37,83,194,378,wheelchair
./data/images/aug_data_2601.png,163,28,446,316,wheelchair
./data/images/aug_data_369.png,88,13,416,416,wheelchair
./data/images/aug_data_1489.png,182,135,410,528,crutches
./data/images/aug_data_2516.png,149,44,202,121,crutches
./data/images/aug_data_1466.png,406,185,563,356,crutches
./data/images/aug_data_2656.png,346,276,603,659,wheelchair
